id,name,lat,lon,type, fuel,region,country,status,capacity_tonnes,emfpm10, pm10_t_yr,emfpm25,pm25_t_yr,emfso2,�so2_t_yr,emfnox,nox_t_yr,source
WSI-163,"Rewari, Rewari District, Haryana",28.17861111,76.60638889,Plastic_waste,,,India,operating_status,600,,,,,,,,,
WSI-164,"Jai Durga Dental Hospital, SH24, Kanina Khas",28.33055556,76.30361111,Plastic_waste,,,India,operating_status,218,,,,,,,,,
WSI-165,"Mahendragarh, Haryana, 123029",28.25888889,76.15722222,Plastic_waste,,,India,operating_status,451,,,,,,,,,
WSI-166,"Summer Sprint PY, Asola, Sohna",28.40166667,77.17111111,Plastic_waste,,,India,operating_status,"1,361",,,,,,,,,
WSI-167,"Asola, Sohna, Gurugram",28.41111111,77.13361111,Plastic_waste,,,India,operating_status,"1,003",,,,,,,,,
WSI-168,"Vasant Vihar Tehsil, New Delhi, Delhi",28.53277778,77.12694444,Plastic_waste,,,India,operating_status,"8,609",,,,,,,,,
WSI-169,"Sainik Farm, Tigri, Saket Tehsil",28.49888889,77.2225,Plastic_waste,,,India,operating_status,"1,050",,,,,,,,,
WSI-170,"Allahbas, Dadri, Gautam Buddha Nagar",28.51861111,77.41666667,Plastic_waste,,,India,operating_status,"1,297",,,,,,,,,
WSI-171,"Sector 106, Gurgaon, Gurugram",28.49805556,77.00222222,Plastic_waste,,,India,operating_status,"1,399",,,,,,,,,
WSI-172,"HUDA, Sector 21, Gurgaon",28.51333333,77.07111111,Plastic_waste,,,India,operating_status,"2,395",,,,,,,,,
WSI-173,"Sainik Nagar, Patel Nagar Tehsil, West Delhi",28.61583333,77.04333333,Plastic_waste,,,India,operating_status,827,,,,,,,,,
WSI-174,"Pusta Road, Khajuri, Seelampur",28.68638889,77.25138889,Plastic_waste,,,India,operating_status,"5,564",,,,,,,,,
WSI-175,"Sector 59, Ireo City, Sohna",28.40555556,77.10444444,Plastic_waste,,,India,operating_status,281,,,,,,,,,
WSI-176,"Sector 52A, Gurgaon, Gurugram",28.43916667,77.0925,Plastic_waste,,,India,operating_status,505,,,,,,,,,
WSI-177,"Pace CityII, Sector 36, Gurgaon",28.42194444,76.98944444,Plastic_waste,,,India,operating_status,"1,970",,,,,,,,,
WSI-178,"Greater Noida, Gautam Buddha Nagar, Uttar Pradesh",28.50361111,77.53222222,Plastic_waste,,,India,operating_status,"3,433",,,,,,,,,
WSI-179,"Punjabi Bagh Tehsil, West Delhi, Delhi",28.665,76.965,Plastic_waste,,,India,operating_status,"1,830",,,,,,,,,
WSI-180,"Rohini Tehsil, North West Delhi, Delhi",28.71472222,77.08222222,Plastic_waste,,,India,operating_status,728,,,,,,,,,
WSI-181,"Saraswati Vihar Tehsil, North West Delhi, Delhi",28.71416667,77.16111111,Plastic_waste,,,India,operating_status,"1,296",,,,,,,,,
WSI-182,"Punjabi Bagh Tehsil, West Delhi, Delhi",28.67472222,77.13305556,Plastic_waste,,,India,operating_status,"2,015",,,,,,,,,
WSI-183,"Beri, Jhajjar, Haryana",28.72916667,76.66972222,Plastic_waste,,,India,operating_status,"1,711",,,,,,,,,
WSI-184,"Ghaziabad, Ghaziabad District, Uttar Pradesh",28.7025,77.44666667,Plastic_waste,,,India,operating_status,"1,141",,,,,,,,,
WSI-185,"Ghaziabad, Ghaziabad District, Uttar Pradesh",28.62888889,77.35277778,Plastic_waste,,,India,operating_status,642,,,,,,,,,
WSI-186,"Ghaziabad, Ghaziabad District, Uttar Pradesh",28.71611111,77.33166667,Plastic_waste,,,India,operating_status,"3,930",,,,,,,,,
WSI-187,"Pataudi, Gurugram, Haryana",28.31972222,76.77472222,Plastic_waste,,,India,operating_status,"2,889",,,,,,,,,
WSI-188,"Sector 1, Manesar, Gurugram",28.35666667,76.94388889,Plastic_waste,,,India,operating_status,"1,403",,,,,,,,,
WSI-189,"Indiaustrial Modern Township Manesar, Manesar, Gurugram",28.3575,76.91361111,Plastic_waste,,,India,operating_status,"1,336",,,,,,,,,
WSI-190,"Sector 1, Manesar, Gurugram",28.37083333,76.94722222,Plastic_waste,,,India,operating_status,948,,,,,,,,,
WSI-191,"Manesar, Gurgaon, Gurugram",28.38444444,76.92944444,Plastic_waste,,,India,operating_status,792,,,,,,,,,
WSI-192,"Mathura, Uttar Pradesh, 281001",27.46083333,77.71194444,Plastic_waste,,,India,operating_status,"1,907",,,,,,,,,
